IPID,PI,PMID,DOI,PROJECT
127332.0,"Melissa A Brotman, PhD",35165974.0,10.1002/hbm.25723,MH002969-04
127332.0,"Melissa A Brotman, PhD",37622161.0,10.21037/aes-21-25,MH002969-04
127332.0,"Melissa A Brotman, PhD",35944754.0,10.1016/j.jaac.2022.05.014,MH002969-04
127332.0,"Melissa A Brotman, PhD",33386133.0,10.1016/j.biopsych.2020.10.018,MH002969-04
127332.0,"Melissa A Brotman, PhD",34390050.0,10.1002/mpr.1890,MH002969-04
127332.0,"Melissa A Brotman, PhD",35641787.0,10.1038/s41386-022-01307-3,MH002969-04
127332.0,"Melissa A Brotman, PhD",33692176.0,10.1136/bmjopen-2020-039169,MH002969-04
127332.0,"Melissa A Brotman, PhD",34146888.0,10.1016/j.janxdis.2021.102432,MH002969-04
127332.0,"Melissa A Brotman, PhD",35039102.0,10.1017/S0954579421001346,MH002969-04
127332.0,"Melissa A Brotman, PhD",33479511.0,10.1038/s41386-020-00954-8,MH002969-04
127332.0,"Melissa A Brotman, PhD",32954946.0,10.1080/02699931.2020.1816911,MH002969-04
127332.0,"Melissa A Brotman, PhD",34706463.0,10.1016/j.jad.2021.08.117,MH002969-04
127332.0,"Melissa A Brotman, PhD",32599006.0,10.1016/j.jaac.2020.04.015,MH002969-04
127332.0,"Melissa A Brotman, PhD",34060361.0,10.1177/10731911211020078,MH002969-04
127332.0,"Melissa A Brotman, PhD",34438022.0,10.1016/j.jaac.2021.08.012,MH002969-04
127279.0,"Peter J Schmidt, MD",34035477.0,10.1038/s41380-021-01144-8,MH002865-17
127279.0,"Peter J Schmidt, MD",33833224.0,10.1038/s41398-021-01328-4,MH002865-17
127251.0,"Christian Grillon, PhD",35381405.0,10.1016/j.bpsc.2022.03.010,MH002798-21
127248.0,"Francis Joseph McMahon, MD",33558674.0,10.1038/s41386-020-00949-5,MH002810-20
127290.0,"David A Leopold, PhD",34795053.0,10.1073/pnas.2105395118,MH002896-16
127290.0,"David A Leopold, PhD",33710282.0,10.1093/brain/awab081,MH002896-16
127274.0,"Francis Joseph McMahon, MD",32203155.0,10.1038/s41380-020-0689-5,MH002843-19
127274.0,"Francis Joseph McMahon, MD",33650257.0,10.1002/ajmg.b.32840,MH002843-19
127274.0,"Francis Joseph McMahon, MD",33975707.0,10.1016/j.biopsych.2021.03.012,MH002843-19
127274.0,"Francis Joseph McMahon, MD",33927182.0,10.1038/s41398-021-01369-9,MH002843-19
127274.0,"Francis Joseph McMahon, MD",34497278.0,10.1038/s41598-021-97140-7,MH002843-19
127274.0,"Francis Joseph McMahon, MD",34002096.0,10.1038/s41588-021-00857-4,MH002843-19
127274.0,"Francis Joseph McMahon, MD",33431852.0,10.1038/s41398-020-01148-y,MH002843-19
127274.0,"Francis Joseph McMahon, MD",34845190.0,10.1038/s41398-021-01702-2,MH002843-19
127274.0,"Francis Joseph McMahon, MD",33441847.0,10.1038/s41598-020-80814-z,MH002843-19
127331.0,"Francisco Pereira, PhD",34847615.0,10.1111/jcpp.13547,MH002968-05
127331.0,"Francisco Pereira, PhD",35422527.0,10.1038/s41562-022-01316-8,MH002968-05
127331.0,"Francisco Pereira, PhD",34128464.0,10.7554/eLife.62051,MH002968-05
127331.0,"Francisco Pereira, PhD",34539512.0,10.3389/fpsyg.2021.712111,MH002968-05
127331.0,"Francisco Pereira, PhD",35325663.0,10.1016/j.ijmedinf.2022.104739,MH002968-05
127331.0,"Francisco Pereira, PhD",35452785.0,10.1016/j.jaac.2022.04.004,MH002968-05
127262.0,"Karen F Berman, MD",34820293.0,10.1016/j.scog.2021.100223,MH002652-30
127262.0,"Karen F Berman, MD",34762337.0,10.1002/mds.28852,MH002652-30
127262.0,"Karen F Berman, MD",34132755.0,10.1001/jamapsychiatry.2021.0847,MH002652-30
127262.0,"Karen F Berman, MD",35922549.0,10.1038/s41386-022-01396-0,MH002652-30
127262.0,"Karen F Berman, MD",34487600.0,10.1002/ajmg.b.32872,MH002652-30
127262.0,"Karen F Berman, MD",35017298.0,10.1073/pnas.2109395119,MH002652-30
127270.0,"Victor W Pike, PhD",34766247.0,10.1007/s11307-021-01675-0,MH002793-21
127270.0,"Victor W Pike, PhD",34363068.0,10.1038/s41596-021-00584-4,MH002793-21
127270.0,"Victor W Pike, PhD",33890705.0,10.1002/chem.202100690,MH002793-21
127270.0,"Victor W Pike, PhD",35649646.0,10.2967/jnumed.121.263199,MH002793-21
127270.0,"Victor W Pike, PhD",33796956.0,10.1186/s13550-021-00780-z,MH002793-21
127270.0,"Victor W Pike, PhD",33479620.0,10.1039/d0md00190b,MH002793-21
127270.0,"Victor W Pike, PhD",34756026.0,10.1021/acs.jmedchem.1c01562,MH002793-21
127270.0,"Victor W Pike, PhD",35209743.0,10.1177/0271678X221084416,MH002793-21
127270.0,"Victor W Pike, PhD",33491441.0,10.1021/acschemneuro.0c00737,MH002793-21
127270.0,"Victor W Pike, PhD",35352645.0,10.2174/0929867329666220329204054,MH002793-21
127270.0,"Victor W Pike, PhD",35772961.0,10.2967/jnumed.122.263838,MH002793-21
127270.0,"Victor W Pike, PhD",33853405.0,10.1177/0271678X211007949,MH002793-21
127272.0,"Dietmar Plenz, PhD",34189375.0,10.1162/netn_a_00188,MH002797-21
127272.0,"Dietmar Plenz, PhD",33551759.0,10.3389/fnsys.2020.591210,MH002797-21
127277.0,"Carlos Alberto Zarate, MD",33773443.0,10.1016/j.jpsychires.2021.03.018,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33418376.0,10.1016/j.jad.2020.12.069,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33929489.0,10.1093/ijnp/pyab023,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33859356.0,10.1038/s41380-021-01093-2,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",34052834.0,10.1038/s41398-021-01442-3,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",34220581.0,10.3389/fpsyt.2021.673159,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",35728680.0,10.1016/j.jad.2022.06.025,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",32801348.0,10.1038/s41386-020-00804-7,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33558676.0,10.1038/s41386-020-00921-3,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",32746445.0,10.1038/s41386-020-0784-y,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",35189151.0,10.1016/j.jid.2022.02.006,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33795646.0,10.1038/s41398-021-01318-6,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",31732715.0,10.1038/s41380-019-0589-8,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33726522.0,10.1176/appi.ajp.2020.20081251,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",32929215.0,10.1038/s41380-020-00878-1,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",35501309.0,10.1038/s41398-022-01941-x,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33945878.0,10.1016/j.ntt.2021.106993,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",36223450.0,10.1126/scitranslmed.abm8351,MH002857-18
127277.0,"Carlos Alberto Zarate, MD",33739187.0,10.1177/07067437211004023,MH002857-18
127305.0,"Carlos Alberto Zarate, MD",35768639.0,10.1038/s41380-022-01673-w,MH002927-13
127305.0,"Carlos Alberto Zarate, MD",32725849.0,10.1002/hbm.25098,MH002927-13
127305.0,"Carlos Alberto Zarate, MD",34980362.0,10.1016/j.euroneuro.2021.10.003,MH002927-13
127305.0,"Carlos Alberto Zarate, MD",33674359.0,10.1124/pharmrev.120.000149,MH002927-13
127305.0,"Carlos Alberto Zarate, MD",31732715.0,10.1038/s41380-019-0589-8,MH002927-13
127305.0,"Carlos Alberto Zarate, MD",36223450.0,10.1126/scitranslmed.abm8351,MH002927-13
127256.0,"Lee E Eiden, PhD",33486153.0,10.1016/j.redox.2020.101839,MH002386-36
127256.0,"Lee E Eiden, PhD",34801296.0,10.1016/j.psyneuen.2021.105592,MH002386-36
127256.0,"Lee E Eiden, PhD",34741979.0,10.1016/j.psyneuen.2021.105447,MH002386-36
127256.0,"Lee E Eiden, PhD",35798984.0,10.1007/s00726-022-03184-y,MH002386-36
127256.0,"Lee E Eiden, PhD",34400158.0,10.1016/j.expneurol.2021.113837,MH002386-36
127256.0,"Lee E Eiden, PhD",33960038.0,10.1111/jne.12974,MH002386-36
127256.0,"Lee E Eiden, PhD",35841324.0,10.1111/jne.13182,MH002386-36
127256.0,"Lee E Eiden, PhD",33463524.0,10.7554/eLife.61718,MH002386-36
127256.0,"Lee E Eiden, PhD",35666232.0,10.1111/jne.13164,MH002386-36
127256.0,"Lee E Eiden, PhD",33462852.0,10.1111/jne.12935,MH002386-36
127307.0,"Peter J Schmidt, MD",33771694.0,10.1016/j.neuroimage.2021.117970,MH002933-11
127247.0,"Kathleen R Merikangas, PhD",34762054.0,10.2196/22369,MH002804-20
127247.0,"Kathleen R Merikangas, PhD",35648395.0,10.1001/jamapsychiatry.2022.1338,MH002804-20
127247.0,"Kathleen R Merikangas, PhD",35244317.0,10.1111/bdi.13198,MH002804-20
127289.0,"Jun Shen, PhD",33735267.0,10.1371/journal.pone.0248632,MH002894-16
127289.0,"Jun Shen, PhD",33837086.0,10.1126/sciadv.abf6780,MH002894-16
127287.0,"Allison Carol Nugent, PhD",32725849.0,10.1002/hbm.25098,MH002889-16
127287.0,"Allison Carol Nugent, PhD",34220581.0,10.3389/fpsyt.2021.673159,MH002889-16
127287.0,"Allison Carol Nugent, PhD",35728680.0,10.1016/j.jad.2022.06.025,MH002889-16
127287.0,"Allison Carol Nugent, PhD",33074143.0,10.1016/j.jad.2020.10.007,MH002889-16
127287.0,"Allison Carol Nugent, PhD",32929215.0,10.1038/s41380-020-00878-1,MH002889-16
127287.0,"Allison Carol Nugent, PhD",35692456.0,10.1016/j.ynirp.2022.100093,MH002889-16
127288.0,"Chris Ian Baker, PhD",35609964.0,10.1136/jnnp-2021-328428,MH002893-16
127275.0,"Francis Joseph McMahon, MD",33927182.0,10.1038/s41398-021-01369-9,MH002844-19
127306.0,"Bruno B Averbeck, PhD",35473766.0,10.7554/eLife.66169,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34354249.0,10.1038/s41386-021-01108-0,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35622896.0,10.1073/pnas.2121331119,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34735788.0,10.1016/j.neuron.2021.10.023,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35492434.0,10.1016/j.cobeha.2020.06.005,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35102260.0,10.1038/s41386-021-01194-0,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34379536.0,10.1152/jn.00092.2021,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35468567.0,10.1016/j.nicl.2022.103004,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35579977.0,10.1162/jocn_a_01869,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34957855.0,10.1098/rstb.2020.0530,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34647770.0,10.1037/bne0000495,MH002928-13
127306.0,"Bruno B Averbeck, PhD",35654023.0,10.1016/j.neuron.2022.05.008,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34986350.0,10.1016/j.celrep.2021.110198,MH002928-13
127306.0,"Bruno B Averbeck, PhD",34660212.0,10.1016/j.scog.2021.100221,MH002928-13
127271.0,"Robert Innis, MD",34766247.0,10.1007/s11307-021-01675-0,MH002795-21
127271.0,"Robert Innis, MD",32978284.0,10.2967/jnumed.120.249367,MH002795-21
127271.0,"Robert Innis, MD",35027372.0,10.2967/jnumed.121.263168,MH002795-21
127271.0,"Robert Innis, MD",33796956.0,10.1186/s13550-021-00780-z,MH002795-21
127271.0,"Robert Innis, MD",34151207.0,10.1021/acsptsci.1c00048,MH002795-21
127271.0,"Robert Innis, MD",34756026.0,10.1021/acs.jmedchem.1c01562,MH002795-21
127271.0,"Robert Innis, MD",35209743.0,10.1177/0271678X221084416,MH002795-21
127271.0,"Robert Innis, MD",33491441.0,10.1021/acschemneuro.0c00737,MH002795-21
127271.0,"Robert Innis, MD",33853405.0,10.1177/0271678X211007949,MH002795-21
127257.0,"Charles R Gerfen, PhD",33888613.0,10.1126/science.abe1931,MH002497-33
127257.0,"Charles R Gerfen, PhD",33268547.0,10.1523/JNEUROSCI.1497-20.2020,MH002497-33
127257.0,"Charles R Gerfen, PhD",33626343.0,10.1016/j.celrep.2021.108774,MH002497-33
127257.0,"Charles R Gerfen, PhD",33463524.0,10.7554/eLife.61718,MH002497-33
127313.0,"Armin Raznahan, PhD",33704446.0,10.1210/endrev/bnaa034,MH002949-07
127313.0,"Armin Raznahan, PhD",34650408.0,10.3389/fnana.2021.712862,MH002949-07
127313.0,"Armin Raznahan, PhD",34817560.0,10.1001/jamapsychiatry.2021.3392,MH002949-07
127313.0,"Armin Raznahan, PhD",31875881.0,10.1093/biostatistics/kxz058,MH002949-07
127313.0,"Armin Raznahan, PhD",33558676.0,10.1038/s41386-020-00921-3,MH002949-07
127313.0,"Armin Raznahan, PhD",32746445.0,10.1038/s41386-020-0784-y,MH002949-07
127313.0,"Armin Raznahan, PhD",34359014.0,10.1016/j.nicl.2021.102771,MH002949-07
127313.0,"Armin Raznahan, PhD",33704401.0,10.1093/brain/awab096,MH002949-07
127313.0,"Armin Raznahan, PhD",33811142.0,10.1073/pnas.2023860118,MH002949-07
127313.0,"Armin Raznahan, PhD",33693614.0,10.1093/cercor/bhab015,MH002949-07
127313.0,"Armin Raznahan, PhD",34911436.0,10.1186/s11689-021-09407-9,MH002949-07
127313.0,"Armin Raznahan, PhD",33171144.0,10.1016/j.neubiorev.2020.10.024,MH002949-07
127313.0,"Armin Raznahan, PhD",34270921.0,10.1016/j.neuron.2021.06.016,MH002949-07
127313.0,"Armin Raznahan, PhD",34845719.0,10.1111/epi.17130,MH002949-07
127313.0,"Armin Raznahan, PhD",34244364.0,10.1523/JNEUROSCI.1193-21.2021,MH002949-07
127313.0,"Armin Raznahan, PhD",34117759.0,10.1093/cercor/bhab162,MH002949-07
127313.0,"Armin Raznahan, PhD",34519385.0,10.1002/hbm.25577,MH002949-07
127313.0,"Armin Raznahan, PhD",34009243.0,10.1093/cercor/bhab077,MH002949-07
127313.0,"Armin Raznahan, PhD",33752588.0,10.1186/s11689-021-09360-7,MH002949-07
127278.0,"Karen F Berman, MD",33667672.0,10.1016/j.neuroimage.2021.117891,MH002863-18
127293.0,"James M Pickel, PhD, AB",34083381.0,10.1523/ENEURO.0017-21.2021,MH002901-16
127284.0,"Elisabeth Adams Murray, PhD",34452993.0,,MH002886-16
127329.0,"Elisha Prem Merriam, PhD",34671032.0,10.1038/s41467-021-26345-1,MH002966-06
127329.0,"Elisha Prem Merriam, PhD",35389340.0,10.7554/eLife.73018,MH002966-06
127329.0,"Elisha Prem Merriam, PhD",35323869.0,10.1167/jov.22.4.11,MH002966-06
127316.0,"Yogita Chudasama, PhD",34413514.0,10.1038/s41593-021-00912-7,MH002952-07
127260.0,"Alex Martin, PhD",33384331.0,10.1073/pnas.2010932118,MH002588-32
127260.0,"Alex Martin, PhD",35903735.0,10.3389/fpsyg.2022.938663,MH002588-32
127260.0,"Alex Martin, PhD",33723070.0,10.1073/pnas.2023069118,MH002588-32
127260.0,"Alex Martin, PhD",33879819.0,10.1038/s42003-021-02002-7,MH002588-32
127295.0,"Chris Ian Baker, PhD",34727232.0,10.1007/s00429-021-02411-8,MH002909-15
127295.0,"Chris Ian Baker, PhD",34792643.0,10.1007/s00429-021-02420-7,MH002909-15
127295.0,"Chris Ian Baker, PhD",35868861.0,10.1523/JNEUROSCI.0232-22.2022,MH002909-15
127295.0,"Chris Ian Baker, PhD",34489180.0,10.1016/j.tics.2021.07.017,MH002909-15
127295.0,"Chris Ian Baker, PhD",35597052.0,10.1016/j.cortex.2022.04.009,MH002909-15
127295.0,"Chris Ian Baker, PhD",35074880.0,10.1073/pnas.2117413119,MH002909-15
127263.0,"Karen F Berman, MD",33667672.0,10.1016/j.neuroimage.2021.117891,MH002717-28
127263.0,"Karen F Berman, MD",33771694.0,10.1016/j.neuroimage.2021.117970,MH002717-28
127263.0,"Karen F Berman, MD",33218283.0,10.1089/brain.2020.0809,MH002717-28
127263.0,"Karen F Berman, MD",33833224.0,10.1038/s41398-021-01328-4,MH002717-28
127253.0,"Miles Herkenham, PhD",34371135.0,10.1016/j.bbi.2021.08.002,MH001090-45
127292.0,"David A Leopold, PhD",33822908.0,10.1093/cercor/bhab064,MH002899-16
127292.0,"David A Leopold, PhD",34795053.0,10.1073/pnas.2105395118,MH002899-16
127323.0,"Soohyun Lee, PhD",35042795.0,10.1073/pnas.2113313119,MH002959-06
127323.0,"Soohyun Lee, PhD",33626343.0,10.1016/j.celrep.2021.108774,MH002959-06
127323.0,"Soohyun Lee, PhD",35027407.0,10.1523/JNEUROSCI.1919-21.2021,MH002959-06
127322.0,"Arash Afraz, PhD, MD",33434491.0,10.1016/j.cub.2020.10.064,MH002958-06
127322.0,"Arash Afraz, PhD, MD",34735788.0,10.1016/j.neuron.2021.10.023,MH002958-06
127322.0,"Arash Afraz, PhD, MD",33619180.0,10.1073/pnas.2026301118,MH002958-06
127338.0,"Robert Innis, MD",35236846.0,10.1038/s41597-022-01164-1,MH002977-02
127269.0,"Ellen Leibenluft, MD",34759268.0,10.1038/s41398-021-01710-2,MH002786-21
127269.0,"Ellen Leibenluft, MD",35358745.0,10.1016/j.bpsc.2022.03.007,MH002786-21
127269.0,"Ellen Leibenluft, MD",35606814.0,10.1186/s13034-022-00466-x,MH002786-21
127269.0,"Ellen Leibenluft, MD",35165974.0,10.1002/hbm.25723,MH002786-21
127269.0,"Ellen Leibenluft, MD",35308882.0,10.3389/fpsyt.2022.803891,MH002786-21
127269.0,"Ellen Leibenluft, MD",34724835.0,10.1177/10870547211057074,MH002786-21
127269.0,"Ellen Leibenluft, MD",34146888.0,10.1016/j.janxdis.2021.102432,MH002786-21
127269.0,"Ellen Leibenluft, MD",35039102.0,10.1017/S0954579421001346,MH002786-21
127269.0,"Ellen Leibenluft, MD",34699854.0,10.1016/j.jad.2021.10.045,MH002786-21
127269.0,"Ellen Leibenluft, MD",34867494.0,10.3389/fpsyt.2021.617052,MH002786-21
127269.0,"Ellen Leibenluft, MD",33440203.0,10.1016/j.jaac.2020.11.022,MH002786-21
127269.0,"Ellen Leibenluft, MD",34024018.0,10.1007/s10578-021-01192-9,MH002786-21
127269.0,"Ellen Leibenluft, MD",34076503.0,10.1089/cap.2020.0174,MH002786-21
127269.0,"Ellen Leibenluft, MD",32004697.0,10.1016/j.jaac.2019.12.008,MH002786-21
127269.0,"Ellen Leibenluft, MD",34053693.0,10.1016/j.chc.2021.04.014,MH002786-21
127269.0,"Ellen Leibenluft, MD",33386133.0,10.1016/j.biopsych.2020.10.018,MH002786-21
127269.0,"Ellen Leibenluft, MD",33479511.0,10.1038/s41386-020-00954-8,MH002786-21
127269.0,"Ellen Leibenluft, MD",32599006.0,10.1016/j.jaac.2020.04.015,MH002786-21
127315.0,"Yogita Chudasama, PhD",34413514.0,10.1038/s41593-021-00912-7,MH002951-07
127268.0,"Heather A Cameron, PhD",33432721.0,10.1002/hipo.23296,MH002784-21
127268.0,"Heather A Cameron, PhD",35864848.0,10.3389/fnbeh.2022.940125,MH002784-21
127291.0,"David A Leopold, PhD",33434491.0,10.1016/j.cub.2020.10.064,MH002898-16
127291.0,"David A Leopold, PhD",34957855.0,10.1098/rstb.2020.0530,MH002898-16
127291.0,"David A Leopold, PhD",35263138.0,10.1126/sciadv.abm2054,MH002898-16
127265.0,"Daniel Pine, MD",32787994.0,10.1017/S0033291720000501,MH002781-21
127265.0,"Daniel Pine, MD",33703868.0,10.1503/jpn.200110,MH002781-21
127265.0,"Daniel Pine, MD",33095373.0,10.1007/s10802-020-00712-w,MH002781-21
127265.0,"Daniel Pine, MD",35473766.0,10.7554/eLife.66169,MH002781-21
127265.0,"Daniel Pine, MD",35036479.0,10.1016/j.ynstr.2022.100428,MH002781-21
127265.0,"Daniel Pine, MD",35136030.0,10.1038/s41398-022-01827-y,MH002781-21
127265.0,"Daniel Pine, MD",35132952.0,10.1017/S003329172200023X,MH002781-21
127265.0,"Daniel Pine, MD",35189353.0,10.1016/j.jpain.2022.01.011,MH002781-21
127265.0,"Daniel Pine, MD",33030612.0,10.1007/s00787-020-01653-x,MH002781-21
127265.0,"Daniel Pine, MD",35297127.0,10.1002/mpr.1905,MH002781-21
127265.0,"Daniel Pine, MD",33517759.0,10.1176/appi.ajp.2020.19121231,MH002781-21
127265.0,"Daniel Pine, MD",33538051.0,10.1002/dev.22086,MH002781-21
127265.0,"Daniel Pine, MD",35256733.0,10.1038/s41598-022-07999-3,MH002781-21
127265.0,"Daniel Pine, MD",33440203.0,10.1016/j.jaac.2020.11.022,MH002781-21
127265.0,"Daniel Pine, MD",34688897.0,10.1016/j.neuroimage.2021.118647,MH002781-21
127265.0,"Daniel Pine, MD",34906711.0,10.1016/j.neuroimage.2021.118786,MH002781-21
127265.0,"Daniel Pine, MD",34674235.0,10.1002/dev.22189,MH002781-21
127265.0,"Daniel Pine, MD",33738691.0,10.1007/s10578-021-01150-5,MH002781-21
127265.0,"Daniel Pine, MD",34674239.0,10.1002/dev.22185,MH002781-21
127265.0,"Daniel Pine, MD",34111122.0,10.1371/journal.pmed.1003664,MH002781-21
127265.0,"Daniel Pine, MD",35165974.0,10.1002/hbm.25723,MH002781-21
127265.0,"Daniel Pine, MD",34599145.0,10.1038/s41398-021-01622-1,MH002781-21
127265.0,"Daniel Pine, MD",35613517.0,10.1016/j.brat.2022.104107,MH002781-21
127265.0,"Daniel Pine, MD",32004697.0,10.1016/j.jaac.2019.12.008,MH002781-21
127265.0,"Daniel Pine, MD",33634768.0,10.1017/S0033291721000581,MH002781-21
127265.0,"Daniel Pine, MD",33386133.0,10.1016/j.biopsych.2020.10.018,MH002781-21
127265.0,"Daniel Pine, MD",33346031.0,10.1016/j.jaac.2020.11.016,MH002781-21
127265.0,"Daniel Pine, MD",34144216.0,10.1016/j.bpsc.2021.06.004,MH002781-21
127265.0,"Daniel Pine, MD",33581801.0,10.1016/S0140-6736(21)00359-7,MH002781-21
127265.0,"Daniel Pine, MD",34246346.0,10.1016/S0140-6736(21)00931-4,MH002781-21
127265.0,"Daniel Pine, MD",34080889.0,10.1176/appi.ajp.2020.20081187,MH002781-21
127265.0,"Daniel Pine, MD",34146888.0,10.1016/j.janxdis.2021.102432,MH002781-21
127265.0,"Daniel Pine, MD",33479511.0,10.1038/s41386-020-00954-8,MH002781-21
127265.0,"Daniel Pine, MD",33755265.0,10.1002/da.23152,MH002781-21
127265.0,"Daniel Pine, MD",32954946.0,10.1080/02699931.2020.1816911,MH002781-21
127265.0,"Daniel Pine, MD",34737386.0,10.1038/s42003-021-02775-x,MH002781-21
127265.0,"Daniel Pine, MD",35652602.0,10.1017/S003329172200157X,MH002781-21
127265.0,"Daniel Pine, MD",33706867.0,10.1016/j.biopsych.2021.01.004,MH002781-21
127265.0,"Daniel Pine, MD",32596977.0,10.1002/hbm.25096,MH002781-21
127310.0,"Karen F Berman, MD",34820293.0,10.1016/j.scog.2021.100223,MH002942-10
127310.0,"Karen F Berman, MD",35922549.0,10.1038/s41386-022-01396-0,MH002942-10
127310.0,"Karen F Berman, MD",34487600.0,10.1002/ajmg.b.32872,MH002942-10
127310.0,"Karen F Berman, MD",35017298.0,10.1073/pnas.2109395119,MH002942-10
127258.0,"Walter Scott Young, MD, PhD, MPH",35017259.0,10.1523/ENEURO.0405-21.2022,MH002498-33
127334.0,"Dietmar Plenz, PhD",33551759.0,10.3389/fnsys.2020.591210,MH002971-04
127330.0,"Mark H Histed, PhD",35132234.0,10.1038/s41593-021-01008-y,MH002967-06
127330.0,"Mark H Histed, PhD",35923858.0,10.1103/physrevx.12.011044,MH002967-06
127273.0,"David A Leopold, PhD",33822908.0,10.1093/cercor/bhab064,MH002838-19
127273.0,"David A Leopold, PhD",33636119.0,10.1016/j.cub.2021.01.102,MH002838-19
127273.0,"David A Leopold, PhD",33434491.0,10.1016/j.cub.2020.10.064,MH002838-19
127273.0,"David A Leopold, PhD",34957855.0,10.1098/rstb.2020.0530,MH002838-19
127273.0,"David A Leopold, PhD",34795053.0,10.1073/pnas.2105395118,MH002838-19
127273.0,"David A Leopold, PhD",33710282.0,10.1093/brain/awab081,MH002838-19
127294.0,"Stefano Marenco, MD",33558674.0,10.1038/s41386-020-00949-5,MH002903-16
127294.0,"Stefano Marenco, MD",35332326.0,10.1038/s41593-022-01032-6,MH002903-16
127294.0,"Stefano Marenco, MD",34487600.0,10.1002/ajmg.b.32872,MH002903-16
127294.0,"Stefano Marenco, MD",34649926.0,10.2337/db21-0198,MH002903-16
127294.0,"Stefano Marenco, MD",34293414.0,10.1016/j.neuroscience.2021.07.007,MH002903-16
127280.0,"Peter J Schmidt, MD",34035477.0,10.1038/s41380-021-01144-8,MH002874-16
